DORIS_KEY,Diabolo,DOREMUS,M9 Derivation Type
2,ADAPTATEUR,adaptateur,Adaptation
204,ARRANGEUR,arrangeur,Arrangement
4,AUTEUR D'ARGUMENT,auteur de l'argument,
5,AUTEUR DE DIALOGUES,auteur,
6,AUTEUR DE TEXTE,auteur du texte,
14,CADENCE,compositeur de la cadence,
197,COMPILATEUR,compilateur,
33,COMPOSITRICE,compositeur,
70,HARMONISATEUR,harmonisateur,Harmonisation
78,LIBRETTISTE,librettiste,
87,ORCHESTRATEUR,orchestrateur,Orchestration
89,PAROLIER,parolier,
228,RECONSTRUCTEUR,reconstructeur,Reconstruction
100,REDUCTEUR,créateur de la réduction musicale,Réduction
102,REVISEUR,réviseur (musique),Révision
244,VIDEASTE,vidéaste,